timestamp,route_id,ticket_revenue,state_subsidy,crew_wages,fuel_costs,loan_payment,compliance_status
2025-01-01T08:00:00,NEC-Acela,157707.8,30611.71,41967.5,14332.51,5000.0,OK
2025-01-01T08:15:00,State-PacificSurfliner,176809.43,43732.71,42947.2,14921.61,5000.0,OK
2025-01-01T08:30:00,NEC-Acela,165061.01,31339.37,45297.7,15082.98,5000.0,OK
2025-01-01T08:45:00,NEC-Acela,199232.18,59313.08,45882.41,16160.13,5000.0,OK
2025-01-01T09:00:00,NEC-Acela,158420.48,39451.63,43624.14,13182.57,5000.0,OK
2025-01-01T09:15:00,Commuter-Metra,146276.3,34087.24,37351.52,14828.87,5000.0,OK
2025-01-01T09:30:00,Commuter-Metra,183604.36,40247.67,37931.59,16579.85,5000.0,OK
2025-01-01T09:45:00,NEC-Regional,180164.12,47478.85,36639.57,15808.17,5000.0,OK
2025-01-01T10:00:00,NEC-Regional,166159.12,57384.54,42096.86,13953.88,5000.0,OK
2025-01-01T10:15:00,LongDistance-Empire,152736.68,34269.41,47229.92,16194.65,5000.0,OK
2025-01-01T10:30:00,LongDistance-Empire,143433.8,38645.35,45529.46,12820.84,5000.0,OK
2025-01-01T10:45:00,LongDistance-Empire,176984.39,44623.52,36229.36,17123.69,5000.0,OK
2025-01-01T11:00:00,LongDistance-Empire,182258.84,47368.28,46386.82,12905.88,5000.0,OK
2025-01-01T11:15:00,State-PacificSurfliner,175833.83,38949.53,45641.46,17683.17,5000.0,OK
2025-01-01T11:30:00,NEC-Acela,146631.96,45618.74,44902.16,14312.56,5000.0,OK
2025-01-01T11:45:00,NEC-Regional,145573.51,39313.19,36421.75,17968.43,5000.0,OK
2025-01-01T12:00:00,LongDistance-Empire,168134.87,33874.46,38399.57,13185.09,5000.0,OK
2025-01-01T12:15:00,NEC-Regional,159396.4,58294.14,47888.54,14691.27,5000.0,OK
2025-01-01T12:30:00,NEC-Acela,141181.69,43989.98,40999.24,15903.15,5000.0,OK
2025-01-01T12:45:00,NEC-Regional,180239.1,35069.86,48690.9,16802.07,5000.0,OK
2025-01-01T13:00:00,Commuter-Metra,151579.47,49279.44,40705.06,16729.4,5000.0,OK
2025-01-01T13:15:00,NEC-Regional,167776.8,47799.81,46717.3,17760.01,5000.0,OK
2025-01-01T13:30:00,Commuter-Metra,146878.48,50800.6,41839.38,13958.95,5000.0,OK
2025-01-01T13:45:00,State-PacificSurfliner,193344.01,41657.68,40181.61,14924.21,5000.0,OK
2025-01-01T14:00:00,LongDistance-Empire,198531.17,45664.54,43145.37,17535.29,5000.0,OK
2025-01-01T14:15:00,State-PacificSurfliner,164213.63,41540.09,44060.27,13562.75,5000.0,OK
2025-01-01T14:30:00,NEC-Regional,198733.78,36011.53,36586.07,13869.53,5000.0,OK
2025-01-01T14:45:00,NEC-Acela,176262.9,35715.56,43596.04,14077.14,5000.0,OK
2025-01-01T15:00:00,NEC-Regional,141803.09,49243.8,49443.19,17614.21,5000.0,OK
2025-01-01T15:15:00,Commuter-Metra,154274.26,37994.12,47995.36,15959.79,5000.0,OK
2025-01-01T15:30:00,LongDistance-Empire,145968.35,30207.13,39205.8,16108.25,5000.0,OK
2025-01-01T15:45:00,LongDistance-Empire,148313.35,38604.84,39090.97,15252.06,5000.0,OK
2025-01-01T16:00:00,Commuter-Metra,141801.34,37458.95,40114.01,17216.9,5000.0,OK
2025-01-01T16:15:00,NEC-Acela,151981.23,55990.87,35081.01,15708.3,5000.0,OK
2025-01-01T16:30:00,State-PacificSurfliner,182761.71,35299.42,37438.92,12437.88,5000.0,OK
2025-01-01T16:45:00,State-PacificSurfliner,199851.86,35335.01,49687.34,12175.2,5000.0,OK
2025-01-01T17:00:00,Commuter-Metra,148449.49,50180.88,38469.45,16110.31,5000.0,OK
2025-01-01T17:15:00,NEC-Acela,172752.62,31214.93,37147.76,12506.6,5000.0,OK
